Suite,Benchmark,Old,New,Unit
Core API,CreateManyPropertyKeysViaCypher.setPropertiesFromMap_(format:standard)_(propsPerMap:100)_(threads:8)_(txMemory:on_heap),5952.27,27.39,ms/op
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:64)_(format:standard)_(index:COMPOSITE_SCHEMA)_(threads:8)_(txMemory:on_heap)_(txSize:1)_(type:long),590.15,9417.63,op/s
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:64)_(format:standard)_(index:COMPOSITE_SCHEMA)_(threads:8)_(txMemory:on_heap)_(txSize:1)_(type:long),590.15,9417.63,op/s
Core API,CreateManyPropertyKeysViaCypher.setPropertiesFromMap_(format:standard)_(propsPerMap:100)_(threads:1)_(txMemory:on_heap),141.58,10.89,ms/op
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:4)_(format:standard)_(index:COMPOSITE_SCHEMA)_(threads:8)_(txMemory:on_heap)_(txSize:1)_(type:long),2.08,21.19,op/ms
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:4)_(format:standard)_(index:COMPOSITE_SCHEMA)_(threads:8)_(txMemory:on_heap)_(txSize:1)_(type:long),2.08,21.19,op/ms
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:64)_(format:standard)_(index:COMPOSITE_SCHEMA)_(threads:8)_(txMemory:on_heap)_(txSize:100)_(type:long),1.64,12.64,op/ms
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:4)_(format:standard)_(index:COMPOSITE_SCHEMA)_(threads:8)_(txMemory:on_heap)_(txSize:1)_(type:small_string),2.24,17.18,op/ms
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:64)_(format:standard)_(index:COMPOSITE_SCHEMA)_(threads:1)_(txMemory:on_heap)_(txSize:1)_(type:long),401.86,3036.11,op/s
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:64)_(format:standard)_(index:COMPOSITE_SCHEMA)_(threads:1)_(txMemory:on_heap)_(txSize:1)_(type:long),401.86,3036.11,op/s
Core API,CreateNodeKey.createIndex_(keys:8)_(threads:1)_(type:long),25.49,4.52,s/op
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:64)_(format:standard)_(index:COMPOSITE_SCHEMA)_(threads:8)_(txMemory:on_heap)_(txSize:1)_(type:small_string),700.62,3909.88,op/s
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:4)_(format:standard)_(index:COMPOSITE_SCHEMA)_(threads:8)_(txMemory:on_heap)_(txSize:100)_(type:long),36.79,196.18,op/ms
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:4)_(format:standard)_(index:COMPOSITE_SCHEMA)_(threads:8)_(txMemory:on_heap)_(txSize:100)_(type:long),36.79,196.18,op/ms
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:64)_(format:standard)_(index:COMPOSITE_SCHEMA)_(threads:1)_(txMemory:on_heap)_(txSize:100)_(type:long),643.8,3350.68,op/s
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:64)_(format:standard)_(index:COMPOSITE_SCHEMA)_(threads:1)_(txMemory:on_heap)_(txSize:100)_(type:long),643.8,3350.68,op/s
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:4)_(format:standard)_(index:COMPOSITE_SCHEMA)_(threads:1)_(txMemory:on_heap)_(txSize:1)_(type:long),1.07,5.36,op/ms
Core API,CreateNodesWithCompositeIndex.createNode_(format:standard)_(keys:8)_(threads:1)_(txSize:1)_(type:long),1.05,5.25,op/ms
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:64)_(format:standard)_(index:COMPOSITE_SCHEMA)_(threads:1)_(txMemory:on_heap)_(txSize:100)_(type:small_string),730.4,3464.39,op/s
Core API,CreateDeleteNodeProperties.createDeleteProperty_(count:4)_(format:standard)_(index:COMPOSITE_SCHEMA)_(threads:1)_(txMemory:on_heap)_(txSize:1)_(type:small_string),1.08,5.07,op/ms
Core API,CreateNodesWithCompositeIndex.createNode_(format:standard)_(keys:2)_(threads:1)_(txSize:1)_(type:long),1.25,5.79,op/ms
